gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TKTL2	74744	1164	-26	731432	222235	0	18	3	0	34	79	7085494	1.80E-002	1
BHMT	164477	578	36	499395	133848	0	8	1	0	50	35	9381190	1.82E-002	1
LRFN5	8637	1309	-33	854802	248430	0	24	4	0	21	77	5737212	1.82E-002	1
OR5M11	NaN	NaN	NaN	356759	108160	0	7	1	0	50	125	18928676	1.88E-002	1
CCDC109B	211934	479	26	417768	109005	0	8	0	0	50	35	8103043	1.89E-002	1
RHAG	66931	1248	-6	502606	140270	0	11	2	0	50	62	8303308	1.90E-002	1
SRMS	1262904	298	54	580515	179478	0	9	0	0	34	26	6531681	1.93E-002	1
LCE5A	325831	700	20	142467	40560	0	4	0	0	50	77	13223912	1.96E-002	1
TMEM155	326547	440	18	159198	46137	0	4	0	0	50	58	12116117	1.96E-002	1
NPY1R	74427	1197	-18	463060	124553	0	13	1	0	17	29	3300739	1.98E-002	1
CLIC5	62331	701	13	528125	140101	0	11	0	0	29	38	6323642	2.02E-002	1
SLC9A4	184297	671	6	967694	269893	0	14	2	0	26	31	6553482	2.10E-002	1
ACSM5	181483	823	6	704392	204152	0	10	1	0	50	35	8715499	2.10E-002	1
ARHGAP36	65931	NaN	13	657579	196209	0	10	1	0	50	63	10854025	2.11E-002	1
OR10J1	347588	699	-5	375011	115258	0	9	2	0	45	46	6735326	2.12E-002	1
FAM47C	71087	NaN	-10	1185535	391235	0	16	1	0	26	38	7392398	2.25E-002	1
ESX1	354255	NaN	47	471679	154466	0	7	1	0	50	53	9505574	2.28E-002	1
TMEM134	1392213	215	53	241501	69797	0	5	0	0	50	36	7336966	2.29E-002	1
ZFP36L2	227876	208	47	560742	194181	0	9	0	0	48	32	7796308	2.32E-002	1
TPRA1	682035	336	42	479284	109850	0	9	0	0	50	69	12948273	2.32E-002	1
HIST1H4F	390169	544	57	118638	40560	0	4	0	0	50	45	6580860	2.41E-002	1
THAP1	594393	454	34	272766	56784	0	5	0	0	50	54	12087725	2.44E-002	1
DYNLRB2	149480	465	-30	123370	31265	0	4	0	0	50	78	10835097	2.46E-002	1
GPR35	837485	485	35	349492	122018	0	8	0	0	39	49	7941817	2.54E-002	1
ZCCHC16	65327	NaN	3	368420	104611	0	7	1	0	50	86	14371422	2.54E-002	1
OR5J2	10101	1007	-38	365716	109343	0	10	0	0	12	28	3523481	2.54E-002	1
OCM2	451365	522	25	140777	32617	0	3	0	0	50	39	11254048	2.59E-002	1
TNNI2	916434	481	33	241332	58812	0	6	0	0	50	50	10108397	2.60E-002	1
ST6GALNAC3	259709	989	-11	380926	98696	0	8	1	0	50	81	10274017	2.61E-002	1
DUSP22	224772	684	46	236600	58981	0	6	1	0	50	40	6832332	2.61E-002	1
AGXT	1187158	297	30	473031	145002	0	10	1	0	50	64	10016630	2.68E-002	1
NLRP14	418263	881	-4	1342705	343577	0	23	2	0	39	55	7565792	2.71E-002	1
SHARPIN	2720766	211	27	454103	154297	0	9	0	0	50	59	12516309	2.80E-002	1
ZNF676	58109	1305	-63	729742	170183	0	17	2	0	50	129	11005618	2.81E-002	1
OR8B4	149616	857	0	361322	109174	0	9	2	0	11	17	2675608	2.82E-002	1
MIA2	314590	300	21	803933	202462	0	14	1	0	50	68	10571626	2.82E-002	1
ZSCAN10	1626425	234	44	848211	265161	0	13	2	0	47	47	9508616	2.86E-002	1
F2	965022	176	48	765739	210236	0	11	1	0	29	21	5330936	2.87E-002	1
FAM69C	162468	969	7	495170	150748	0	9	2	0	14	12	2757742	2.88E-002	1
OR5M1	NaN	NaN	NaN	370110	110526	0	8	1	0	50	125	18931042	2.89E-002	1
MARCO	152902	553	-2	643214	181675	0	12	3	0	50	69	9777157	2.92E-002	1
KRTAP13-1	4608	1035	-69	202124	62023	0	6	0	0	50	57	6726031	2.95E-002	1
OR4C45	NaN	NaN	NaN	364871	102076	0	7	0	0	50	124	18922592	2.96E-002	1
OR4N4	156689	855	-31	369941	111709	0	11	2	0	50	95	9856925	2.99E-002	1
MBLAC1	1299015	205	52	294905	113230	0	7	2	0	12	6	2034084	3.04E-002	1
TCF21	102722	388	-4	215644	62192	0	6	1	0	40	69	8798478	3.08E-002	1
IQSEC3	241073	592	27	1416896	448864	0	17	4	0	50	52	10759892	3.10E-002	1
PTF1A	124603	469	1	373997	128440	0	9	2	0	50	71	9254609	3.11E-002	1
HHEX	359162	317	17	323128	96161	0	5	0	0	50	54	11708151	3.11E-002	1
P2RX6	577297	192	58	540124	155480	0	8	1	0	50	43	9971338	3.12E-002	1
FCRL4	232460	820	28	627328	179816	0	14	4	0	20	17	2620514	3.15E-002	1
GPR139	254650	827	-17	421824	119652	0	10	1	0	50	74	9087130	3.18E-002	1
BEX1	456169	NaN	16	156325	37349	0	4	0	0	50	52	8920496	3.19E-002	1
KCNQ2	1314528	298	49	1067404	325325	0	14	3	0	34	39	8449831	3.24E-002	1
CACNG6	806175	338	-40	298961	104104	0	6	1	0	50	61	9067695	3.24E-002	1
SIGLEC12	360870	583	-4	733967	224770	0	12	3	0	50	41	7686627	3.26E-002	1
GAL3ST3	3581017	208	47	491452	167648	0	8	1	0	50	47	9311900	3.30E-002	1
SNCB	579630	359	40	170014	45461	0	5	0	0	50	69	10232274	3.32E-002	1
PRND	477570	485	26	212940	58305	0	4	0	0	50	45	10715276	3.43E-002	1
ZNF521	24828	599	-1	1603979	405262	0	22	3	0	47	79	11842506	3.44E-002	1
APOBEC1	237142	672	14	296257	73346	0	6	0	0	50	59	10767497	3.45E-002	1
RNGTT	202476	672	37	754585	185393	0	12	0	0	32	37	7582016	3.46E-002	1
CYP4F22	772367	543	20	647101	185900	0	10	1	0	50	64	11620609	3.47E-002	1
OR2J2	162844	808	12	363688	112892	0	7	1	0	50	46	8906976	3.49E-002	1
TMPRSS15	274061	981	-64	1276795	324311	0	18	1	0	6	4	1409798	3.50E-002	1
SAMD1	1023789	215	34	497536	168662	0	20	3	0	5	9	663494	3.51E-002	1
HIST1H4L	228884	634	40	118638	41067	0	3	0	0	50	32	7027865	3.54E-002	1
GLB1L2	270422	686	5	787878	217503	0	10	1	0	50	48	9989083	3.54E-002	1
OR10C1	404210	854	21	352027	123539	0	9	0	0	50	45	7888075	3.56E-002	1
MYBPC1	348152	448	6	1497509	378391	0	17	3	0	50	30	7971054	3.56E-002	1
OR51B5	100115	1056	1	361998	114075	0	10	1	0	27	30	3534297	3.60E-002	1
ATP1B4	484939	NaN	23	449540	110188	0	7	0	0	50	35	7782619	3.62E-002	1
OR11G2	371813	563	-29	401713	123539	0	9	0	0	50	73	9638915	3.63E-002	1
CNTNAP5	1260	1308	-14	1604993	429598	0	28	6	0	40	85	9729837	3.66E-002	1
PGRMC1	613514	NaN	19	233220	68952	0	5	0	0	50	41	8532979	3.68E-002	1
OR9Q2	637499	828	-25	365716	115427	0	8	1	0	50	55	7897201	3.70E-002	1
CDH7	4645	524	-49	951639	265161	0	15	2	0	36	37	6475404	3.70E-002	1
OR6B1	222080	812	-11	364195	110357	0	8	1	0	50	76	9526530	3.72E-002	1
NOS1	201056	259	13	1745432	491959	0	24	7	0	50	48	8448817	3.72E-002	1
ASB5	134663	504	-4	401544	113568	0	8	1	0	50	74	10981113	3.76E-002	1
CMKLR1	437015	597	27	444808	128102	0	7	1	0	50	64	11696828	3.78E-002	1
AMBN	262055	689	14	552292	154466	0	8	2	0	39	38	7089888	3.79E-002	1
OR2A14	221024	812	-11	360815	111709	0	8	1	0	50	76	9526530	3.80E-002	1
TCF23	1214097	238	50	249613	83486	0	5	0	0	50	50	10796565	3.83E-002	1
FCRL5	234921	764	25	1164579	355407	0	17	2	0	44	45	8406398	3.84E-002	1
PEG3	NaN	NaN	NaN	1779739	451568	0	27	5	0	39	114	15035930	3.84E-002	1
BSX	698665	416	8	271921	87542	0	6	0	0	50	54	8031725	3.85E-002	1
LILRB2	717623	458	-6	717067	220376	0	11	2	0	50	50	8558329	3.87E-002	1
NCBP2	754196	306	29	196547	49348	0	3	0	0	50	38	11332633	3.89E-002	1
PROL1	264684	915	25	286117	96668	0	6	1	0	50	52	8275085	3.90E-002	1
C15orf43	706600	569	31	283751	65572	0	6	0	0	50	71	12036518	3.94E-002	1
GLYATL1	368006	741	-11	416416	104780	0	8	0	0	50	57	8630830	3.97E-002	1
ABI3	816202	346	24	430781	141622	0	7	0	0	50	64	11572951	4.00E-002	1
STX11	298896	322	23	343746	96330	0	6	1	0	50	61	11426259	4.02E-002	1
NR1I3	731911	229	39	486213	133848	0	7	0	0	24	21	6420310	4.03E-002	1
NTNG2	361444	509	37	637637	182182	0	11	2	0	32	27	5138614	4.08E-002	1
LRRC7	298237	695	-26	1883336	505648	0	29	8	0	50	95	10984155	4.09E-002	1
SST	124494	431	13	136552	43433	0	4	0	0	50	78	10537488	4.17E-002	1
GAB4	156217	639	-95	694421	198406	0	13	1	0	50	84	9812985	4.20E-002	1
RGS13	306250	526	-13	207363	44109	0	5	0	0	50	75	10623171	4.22E-002	1
PYY	920082	241	29	116441	37687	0	3	0	0	50	43	8290295	4.24E-002	1
KLHL34	93001	NaN	7	726869	254176	0	11	1	0	21	22	4152330	4.25E-002	1
MID1IP1	91133	NaN	31	217672	62192	0	4	0	0	50	54	10705643	4.28E-002	1
ATP6V0A4	310803	385	7	1047631	272090	0	14	3	0	50	51	9461296	4.29E-002	1
POU3F3	165707	869	-17	569361	192153	0	10	2	0	50	72	11359166	4.34E-002	1
TPD52	211901	353	43	317213	84838	0	4	0	0	50	28	8870810	4.38E-002	1
C16orf54	NaN	NaN	NaN	252993	90246	0	5	0	0	50	124	18910762	4.39E-002	1
WNT11	265144	359	38	422162	125905	0	6	2	0	34	25	5412225	4.45E-002	1
CATSPER1	3854361	208	57	952653	257556	0	13	3	0	50	47	10264046	4.45E-002	1
SH2D1A	216982	NaN	-14	158691	43602	0	5	1	0	12	8	1425177	4.47E-002	1
OR52E4	262387	914	-13	365209	109850	0	8	1	0	50	61	8285225	4.55E-002	1
OR10V1	431271	409	27	360477	111033	0	6	0	0	50	58	11822226	4.55E-002	1
LPPR4	100692	868	-15	908206	266006	0	16	4	0	41	86	11049558	4.63E-002	1
OR10K1	177013	929	7	359463	117117	0	6	1	0	50	54	9674743	4.64E-002	1
CCL21	712216	220	49	165789	46644	0	4	0	0	50	51	8777860	4.65E-002	1
RAET1E	423805	245	34	323804	85852	0	5	1	0	50	39	9511151	4.67E-002	1
DFNB59	170323	555	37	431288	117793	0	7	0	0	50	36	8682037	4.68E-002	1
SLC4A10	229857	820	0	1417910	380926	0	19	3	0	45	48	8233173	4.70E-002	1
TMEM215	610744	401	-18	278850	82134	0	6	1	0	50	60	9804028	4.74E-002	1
ELOVL5	379445	287	27	375180	95316	0	7	0	0	50	72	12280385	4.87E-002	1
LELP1	822908	602	28	121342	31265	0	3	0	0	50	85	13042913	4.90E-002	1
HIST1H2BL	267617	634	32	149565	45630	0	4	0	0	50	50	7360964	4.98E-002	1
